item_id,quantity,in_date,out_date
T101,10 sqft,14/02/2020,21/02/2020
T102,10 kg,16/02/2020,20/02/2020
T103,5 kg/m3,27/02/2020,5/3/2020
T104,24 gauge,27/02/2020,3/2/2020
T105,3 kg ,16/03/2020,21/03/2020
T107,ingots?20,26/03/2020,9/4/2020
T108,2 kg,8/4/2020,12/4/2020
T109,10 sqft,14/02/2020,21/02/2020
T110,10 kg,16/02/2020,20/02/2020
T111,5 kg/m3,27/02/2020,5/3/2020
T112,24 gauge,27/02/2020,3/2/2020
T113,2 kg/m3 ,16/03/2020,21/03/2020
T115,ingots?20,26/03/2020,9/4/2020
T116, 2 kg,8/4/2020,12/4/2020
T124,10 sqft,14/02/2020,21/02/2020
T117,10 kg,16/02/2020,20/02/2020
T118,5 kg/m3,27/02/2020,5/3/2020
T119,24 gauge,27/02/2020,3/2/2020
T120,8 gauge,16/03/2020,21/03/2020
T122,ingots?20,26/03/2020,9/4/2020
T123,3 kg,8/4/2020,12/4/2020
T124,10 sqft,14/02/2020,12/3/2020
T125,5 kg/m3,27/02/2020,5/3/2020
T126,24 gauge,27/02/2020,3/2/2020
T127,8 gauge,16/03/2020,21/03/2020
T128,ingots?20,26/03/2020,9/4/2020
T129,3 kg,8/4/2020,12/4/2020
T130,10 sqft,14/02/2020,12/3/2020
